rapportagedatum,totale_omzet,lag_1d,lag_7d,lag_14d,lag_28d,rolling_mean_7d,rolling_mean_28d,weekday,month,week,year,quarter,day_of_year,weekday_sin,weekday_cos,month_sin,month_cos,week_sin,week_cos,is_weekend,is_monday,is_friday,is_voorjaarvakantie,is_meivakantie,is_zomervakantie,is_herfstvakantie,is_kerstvakantie,is_schoolvakantie,is_feestdag,is_dag_na_feestdag,cumulative_revenue_ytd,contractual_consumption_rate,time_index
2023-02-08,470059.32,546986.12,445683.66,455051.73,455763.18,387149.20285714284,386364.07964285713,2,2,6,2023,1,39,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,0,0,0,0,0,0,14835543.46,0.10287360344215453,403
2023-02-09,525304.68,470059.32,531924.76,526489.04,540395.17,390631.44,386874.6560714286,3,2,6,2023,1,40,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,0,0,0,0,0,0,15360848.14,0.10651620578310225,404
2023-02-10,413614.03,525304.68,427427.29,403055.02,424978.57,389685.71428571426,386335.71,4,2,6,2023,1,41,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,1,0,0,0,0,0,0,0,0,15774462.17,0.1093843154560007,405
2023-02-11,126485.52,413614.03,131436.77,124744.12,129890.37,387712.3914285715,385929.83357142855,5,2,6,2023,1,42,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1,0,0,0,0,0,0,0,0,0,0,15900947.69,0.11026139968690456,406
2023-02-12,129739.99,126485.52,129199.46,133658.71,129295.35,387005.07,385808.2317857143,6,2,6,2023,1,43,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1,0,0,0,0,0,0,0,0,0,0,16030687.68,0.11116105127822207,407
2023-02-13,504615.51,129739.99,497386.36,471478.16,494763.96,387082.2885714286,385824.1117857142,0,2,7,2023,1,44,0.0,1.0,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,1,0,0,0,0,0,0,0,0,0,16535303.19,0.11466018941269392,408
2023-02-14,551102.15,504615.51,546986.12,537130.9,551814.68,388115.02428571426,386175.95285714284,1,2,7,2023,1,45,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,0,0,0,0,0,0,0,0,0,17086405.34,0.11848167827072452,409
2023-02-15,455229.63,551102.15,470059.32,445683.66,475800.05,388703.02857142856,386150.5053571429,2,2,7,2023,1,46,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,0,0,0,0,0,0,0,0,0,17541634.97,0.12163836158050727,410
2023-02-16,523958.09,455229.63,525304.68,531924.76,561705.72,386584.5014285714,385415.84750000003,3,2,7,2023,1,47,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,0,0,0,0,0,0,0,0,0,18065593.06,0.12527162630830774,411
2023-02-17,415861.88,523958.09,413614.03,427427.29,397423.74,386392.1314285715,384067.7178571429,4,2,7,2023,1,48,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0,0,1,0,0,0,0,0,0,0,0,18481454.94,0.12815532317085793,412
